SitSiteNumber,WEBSITE - accno
10462,L.2059
10463,L.2059
10464,L.2059
10465,L.2059
10466,L.2059
10467,L.2059
10468,L.2059
10469,L.2059
10470,L.2059
10471,L.2059
10472,L.2059
10473,L.2059
10486,L.2059
10487,L.2059
10488,L.2059
12387,L.2059
12565,A.11154.88-1
12634,L.2213.86-76
12645,L.2213.86-76
12646,L.2213.86-76
12647,L.2213.86-76
15330,L.2213.86-76
15331,L.2213.86-76
15333,L.2213.86-76
15355,A.5486.89-281
15357,A.5486.89-281
15369,A.5486.89-281
16123,L.2213.86-76
16124,L.2213.86-76
20659,L.2213.86-76
22365,L.2213.86-76
22366,L.2213.86-76
22367,L.2213.86-76
22387,L.2213.86-76
23959,L.2213.86-76
23961,L.2213.86-76
23975,L.2213.86-76
26606,L.2213.86-76
30190,L.2213.86-76
30201,L.2213.86-76
30213,L.2213.86-76
30219,L.2213.86-76
30220,L.2213.86-76
30221,L.2213.86-76
30222,L.2213.86-76
30223,L.2213.86-76
30224,L.2213.86-76
30225,L.2213.86-76
30276,L.2213.86-76
30290,L.2213.86-76
30291,L.2213.86-76
30292,L.2213.86-76
30293,L.2213.86-76
30294,L.2213.86-76
30295,L.2213.86-76
30296,L.2213.86-76
31485,
3943,
3944,
3945,
3946,
3955,
3962,
4811,
5508,A.6440.77-5
5509,A.6440.77-5
5510,A.6440.77-5
7451,L.2059
11860,L.2059
11864,L.2059
11866,L.2059
11867,L.2059
11886,L.2059
15932,L.2213.86-76
18553,F.A. 3971.2004-1
25292,L.2213.86-76
4907,A.7648.71-3
18720,F.A.3971.2004-1
18721,F.A.3971.2004-1
18722,F.A.3971.2004-1
18723,F.A.3971.2004-1
18724,F.A.3971.2004-1
18725,F.A.3971.2004-1
18726,F.A.3971.2004-1
18727,F.A.3971.2004-1
18728,F.A.3971.2004-1
18729,F.A.3971.2004-1
18730,F.A.3971.2004-1
18731,F.A.3971.2004-1
18732,F.A.3971.2004-1
18733,F.A.3971.2004-1
18734,F.A.3971.2004-1
18735,F.A.3971.2004-1
18736,F.A.3971.2004-1
18737,F.A.3971.2004-1
18738,F.A.3971.2004-1
18739,F.A.3971.2004-1
18740,F.A.3971.2004-1
18741,F.A.3971.2004-1
18742,F.A.3971.2004-1
18743,F.A.3971.2004-1
18744,F.A.3971.2004-1
18745,F.A.3971.2004-1
18746,F.A.3971.2004-1
18747,F.A.3971.2004-1
18748,F.A.3971.2004-1
18750,F.A.3971.2004-1
18751,F.A.3971.2004-1
18752,F.A.3971.2004-1
18754,F.A.3971.2004-1
18755,F.A.3971.2004-1
18756,F.A.3971.2004-1
18757,F.A.3971.2004-1
18758,F.A.3971.2004-1
18759,F.A.3971.2004-1
18760,F.A.3971.2004-1
18761,F.A.3971.2004-1
18762,F.A.3971.2004-1
18763,F.A.3971.2004-1
18764,F.A.3971.2004-1
18765,F.A.3971.2004-1
18766,F.A.3971.2004-1
18767,F.A.3971.2004-1
18768,F.A.3971.2004-1
18769,F.A.3971.2004-1
18770,F.A.3971.2004-1
18771,F.A.3971.2004-1
18772,F.A.3971.2004-1
18774,F.A.3971.2004-1
18775,F.A.3971.2004-1
18776,F.A.3971.2004-1
18777,F.A.3971.2004-1
18778,F.A.3971.2004-1
18779,F.A.3971.2004-1
18780,F.A.3971.2004-1
18781,F.A.3971.2004-1
18782,F.A.3971.2004-1
18783,F.A.3971.2004-1
18784,F.A.3971.2004-1
18785,F.A.3971.2004-1
18786,F.A.3971.2004-1
