TaxTaxNo,EMUIRN,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SUBGENUS,SPECIES,TAXON,AITHOR,AITHOR1
7396,,Ichnofossil,,,,,Helicorhaphe,,isp.,Helicorhaphe isp.,,
10080,,Ichnofossil,,,,,Helicotaphnichnus,,commensalis,Helicotaphnichnus commensalis,"Kern et al., 1974",
7397,,Ichnofossil,,,,,Heliocolithus,,isp.,Heliocolithus isp.,,
6726,,Animalia,Coelenterata,Anthozoa,Tabulata,Heliolitidae,Heliolitidae,,indet.,Heliolitidae indet.,,
9652,,Animalia,Arthropoda,Trilobita,Phacopida,Cheiruridae,Heliomeroides,,sp.,Heliomeroides sp.,,
9840,,Animalia,Mollusca,Gastropoda,,Planorbidae,Helisoma,,sp.,Helisoma sp.,,
7398,,Ichnofossil,,,,,Helminthodes,,isp.,Helminthodes isp.,,
7399,,Ichnofossil,,,,,Helminthoida,,isp.,Helminthoida isp.,,
7400,,Ichnofossil,,,,,Helminthopsis,,isp.,Helminthopsis isp.,,
11731,204351,Animalia,Echinodermata,Echinoidea,,,Hemiaster,,alamedensis,Hemiaster alamedensis,"Kew, 1920",
11732,204352,Animalia,Echinodermata,Echinoidea,,,Hemiaster,,californicus,Hemiaster californicus,"Clark, 1891",
11733,204353,Animalia,Echinodermata,Echinoidea,,,Hemiaster,,cholamensis,Hemiaster cholamensis,"Kew, 1920",
6927,203113,Animalia,Echinodermata,Echinoidea,Spatangoida,Hemiasteridae,Hemiasteridae,,indet.,Hemiasteridae indet.,,
11734,204354,Animalia,Echinodermata,Echinoidea,,,Hemiaster,,oregonensis,Hemiaster oregonensis,"Kew, 1920",
10002,203370,Animalia,Echinodermata,Echinoidea,Hemiasteridea,Hemiasteridae,Hemiaster,,sp.,Hemiaster sp.,,
12381,203370,Animalia,Echinodermata,Echinoidea,,,Hemiaster,,sp.,Hemiaster sp.,,
11528,204670,Animalia,Mollusca,Cephalopoda,Ammonoidea,Heteroceratidae,Hemibaculites,,cyclopius,Hemibaculites cyclopius,"Anderson, 1938",
11529,204671,Animalia,Mollusca,Cephalopoda,Ammonoidea,Heteroceratidae,Hemibaculites,,mirabilis,Hemibaculites mirabilis,"Anderson, 1938",
11530,204672,Animalia,Mollusca,Cephalopoda,Ammonoidea,Heteroceratidae,Hemibaculites,,nauplius,Hemibaculites nauplius,"Anderson, 1938",
11531,204673,Animalia,Mollusca,Cephalopoda,Ammonoidea,Heteroceratidae,Hemibaculites,,neleus,Hemibaculites neleus,"Anderson, 1938",
12313,203371,Animalia,Mollusca,Cephalopoda,Ammonoidea,Heteroceratidae,Hemibaculites,,sp.,Hemibaculites sp.,,
6912,,Animalia,Echinodermata,Echinoidea,Hemicidaroida,Hemicidaridae,Hemicidaridae,,indet.,Hemicidaridae indet.,,
